organization,website_address
서울특별시청,http://www2.seoul.go.kr/web2004/seoul/citynews/sibo2013/
서울특별시 강남구,http://www.gangnam.go.kr/notice/list.do?mid=FM0402
서울특별시 강동구,http://www.gangdong.go.kr/web/ko_4/app/uiList.do?ap=B0007
서울특별시 강북구,http://www.gangbuk.seoul.kr/www/contents.do?key=8065
서울특별시 강서구,http://gangseo.seoul.kr/new_portal/announce/main_16.jsp
서울특별시 관악구,http://www.gwanak.go.kr/site/gwanak/ex/bbs/List.do?cbIdx=289
서울특별시 광진구,http://www.gwangjin.go.kr/_board-list.do?boardId=MIT041
서울특별시 구로구,http://www.guro.go.kr/www/board/NR_boardList.do?bbsCd=332
서울특별시 금천구,http://www.geumcheon.go.kr/program/board/list.jsp?menuID=001008005001002&boardTypeID=66
서울특별시 노원구,http://www.nowon.kr/new/nowon/nowon.jsp?mid=570203
서울특별시 도봉구,http://www.dobong.go.kr/Contents.asp?code=10004825
서울특별시 동대문구,http://www.ddm.go.kr/
서울특별시 동작구,http://www.dongjak.go.kr/portal/bbs/B0000172/list.do?menuNo=200644
서울특별시 마포구,http://www.mapo.go.kr/CmsWeb/viewPage.req?idx=PG0000002207
서울특별시 서대문구,http://www.sdm.go.kr/news/notice/notice.do
서울특별시 서초구,http://www.seocho.go.kr/
서울특별시 성동구,http://sd.go.kr/sd/main.do?op=mainSub&mCode=13E010030000
서울특별시 성북구,http://seongbuk.go.kr/PageLink.do
서울특별시 송파구,http://www.songpa.go.kr/
서울특별시 양천구,http://www.yangcheon.go.kr/
서울특별시 영등포구,http://www.ydp.go.kr/
서울특별시 용산구,http://www.yongsan.go.kr/
서울특별시은평구,http://www.ep.go.kr/
서울특별시 종로구,http://www.jongno.go.kr/
서울특별시중 구,http://www.junggu.seoul.kr/
서울특별시 중랑구,http://jungnang.seoul.kr/
부산광역시청,http://www.busan.go.kr/nbgosi
부산광역시 강서구,http://www.bsgangseo.go.kr/bsgangseo/contents.do?mId=0401020000
부산광역시 금정구,http://www.geumjeong.go.kr/board/list.geumj?boardId=BBS_0000006&menuCd=DOM_000000101002003000&contentsSid=33
부산광역시 남구,http://www.bsnamgu.go.kr/index.namgu?menuCd=DOM_000000105001002000
부산광역시 동구,http://www.bsdonggu.go.kr/index.donggu?menuCd=DOM_000000103001002000
부산광역시 동래구,http://www.dongnae.go.kr/index.dongnae?menuCd=DOM_000000103001003000
부산광역시 부산진구,http://www.busanjin.go.kr/board/list.do?boardId=BBS_0000041&menuCd=DOM_000000303003000000&contentsSid=304&cpath=
부산광역시 북구,http://www.bsbukgu.go.kr/index.bsbukgu?menuCd=DOM_000000105001009000#
부산광역시 사상구,http://www.sasang.go.kr/index.sasang?menuCd=DOM_000000101003001000
부산광역시 사하구,http://www.saha.go.kr/portal/contents.do?mId=0301030000
부산광역시 서구,www.bsseogu.go.kr 
부산광역시수영구,http://www.suyeong.go.kr/suyeong/template.asp?midx=484
부산광역시 연제구,http://www.yeonje.go.kr/
부산광역시 영도구,http://www.yeongdo.go.kr/00000/00007/00013.web
부산광역시 중구,http://www.bsjunggu.go.kr/index.junggu?menuCd=DOM_000000103001002000
부산광역시 해운대구,http://www.haeundae.go.kr/html/12_info/info_0202.php?board=xboard_503
부산광역시 기장군,http://www.gijang.go.kr/index.gijang?menuCd=DOM_000000101001002000
대구광역시청,http://sido.daegu.go.kr/citynet/jsp/sap/SAPGosiBizProcess.do?command=searchList&flag=gosiGL&svp=Y
대구광역시 남구,http://nam.daegu.kr/?menu_id=00000851
대구광역시 달서구,http://www.dalseo.daegu.kr/pages/executive/page.html?mc=185&large_code=20&medium_code=60&small_code=30#article03
대구광역시 동구,http://www.dong.daegu.kr/main/page.htm?mnu_siteid=dongu_k&mnu_uid=1911
대구광역시 북구,http://www.buk.daegu.kr/index.do?menu_id=00000198
대구광역시 서구,http://www.dgs.go.kr/04_administration/page.php?mnu_uid=988
대구광역시 수성구,http://www.suseong.kr/index.do?menu_id=00000064
대구광역시 중구,http://www.jung.daegu.kr/new/pages/administration/page.html?mc=0159#article05
대구광역시 달성군,http://www.dalseong.daegu.kr/new/dalseong/main/main.html
인천광역시청,http://announce.incheon.go.kr/citynet/jsp/sap/SAPGosiBizProcess.do?command=searchList&flag=gosiGL&svp=Y&sido=ic/
인천광역시 계양구,http://www.gyeyang.go.kr/
인천광역시 남구,http://namgu.incheon.kr/home/administration/news_announcement.asp
인천광역시 남동구,http://www.namdong.go.kr/main/notice/announce.asp
인천광역시 동구,http://www.icdonggu.go.kr
인천광역시 부평구,http://www.icbp.go.kr/
인천광역시 서구,http://www.seo.incheon.kr/
인천광역시 연수구,http://www.yeonsu.go.kr/main/community/notify/gosi.asp
인천광역시 중구,http://www.icjg.go.kr/krcm03c
인천광역시 강화군,http://www.ganghwa.go.kr/
인천광역시 옹진군,http://www.ongjin.go.kr/
광주광역시청,http://www.gwangju.go.kr/contentsView.do?menuId=gwangju0310000000
광주광역시 광산구,http://www.gwangsan.go.kr/bb/bbEminwon.php?pageID=gwangsan0202020000&movePage=1&not_ancmt_se_code=01%2C03%2C04
광주광역시 남구,http://www.namgu.gwangju.kr/menu.es?mid=a10604020100
광주광역시 동구,http://www.donggu.kr/menu.es?mid=a10101030100
광주광역시 북구,http://www.bukgu.gwangju.kr/menu.es?mid=a10401050000
광주광역시 서구,http://seogu.gwangju.kr/index.9is?contentUid=4028484950895ab2015093a0abba0663
대전광역시청,http://www.daejeon.go.kr/drh/drhGosiList.do?gosigbn=N&menuSeq=1907
대전광역시 대덕구,http://www.daedeok.go.kr/dpt/dpt04/DPT040204_cmmBoardList.do
대전광역시 동구,http://www.donggu.go.kr/home/service_01010401.do
대전광역시 서구,http://www.seogu.go.kr/kor/content.do?mnucd=SGMENU0100514
대전광역시 유성구,http://www.yuseong.go.kr/?page_id=11290
대전광역시 중구,http://www.djjunggu.go.kr/html/kr/with/with_0305.html
울산광역시청,http://www.ulsan.go.kr/rep/ubnotify
울산광역시 남구,http://www.ulsannamgu.go.kr/cop/bbs/selectSaeolGosiList.do
울산광역시 동구,http://www.donggu.ulsan.kr/donggu/saeolGosiList.do
울산광역시 북구,http://www.bukgu.ulsan.kr
울산광역시 울주군,http://www.ulju.ulsan.kr/index.ulju?menuCd=DOM_000000106006002000
울산광역시 중구,http://www.junggu.ulsan.kr/index.ulsan?menuCd=DOM_000000302007002000
세종특별자치시청,http://www.sejong.go.kr/prog/announce/kor/sub02_03_01/listC/list.do
경기도청,http://www.gg.go.kr/archives/category/news_info/news_info-announce
경기도 가평군,http://www.gp.go.kr/portal/contents.do?key=502
경기도 고양시,http://www.goyang.go.kr/kr/intro/sub06/01/
경기도 덕양구,http://www.goyang.go.kr/3gu/d_gu/xcd5/cd5b4/cd5b4b1/
경기도 일산동구,http://www.goyang.go.kr/3gu/w_gu/xcw5/cw5b4/cw5b4b1/
경기도 일산서구,http://www.goyang.go.kr/3gu/s_gu/xcs5/cs5b4/cs5b4b1/
경기도 과천시,http://www.gccity.go.kr/main/page.do?mCode=B010030010&cIdx=465
경기도 광명시,http://www.gm.go.kr/
경기도 광주시,https://www.gjcity.go.kr/portal/saeol/gosi/list.do?mId=0202010000
경기도 구리시,http://www.guri.go.kr/cms/content/view/1676
경기도 군포시,http://www.gunpo.go.kr/www/contents.do?key=3907
경기도 김포시,http://www.gimpo.go.kr/portal/notice/list.do?cate_cd=1&menu_cd=100303&pageIndex=1
경기도 남양주시,http://www.nyj.go.kr/main/185?space=main_board_gonggo
경기도 동두천시,http://www.ddc.go.kr/ddc/gosiList.do?key=340&code=04
경기도 부천시,http://www.bucheon.go.kr/site/homepage/menu/viewMenu?menuid=148004008001
경기도 부천 소사구,http://sosa.bucheon.go.kr/
경기도 부천 오정구,http://ojeong.bucheon.go.kr/
경기도 부천 원미구,http://wonmigu.bucheon.go.kr/
경기도 성남시,http://www.seongnam.go.kr/notice/publicNotice.do
경기도 성남 분당구,www.bundang-gu.go.kr 
경기도 성남 중원구,http://www.jungwongu.go.kr/sub/content.asp?cIdx=175
경기도 성남 수정구,http://www.sujeong-gu.or.kr/
경기도 수원시,http://www.suwon.go.kr/
경기도 수원 권선구,http://ksun.suwon.ne.kr/submain_view.asp?TopID=sub02&MenuID=sub0210
경기도 수원 영통구,http://yt.suwon.go.kr/_pcfg/?menuid=sub0411
경기도 수원 장안구,http://jangan.suwon.go.kr/
경기도 수원 팔달구,http://paldal.suwon.ne.kr/submain_view.asp?TopID=sub01&menuid=sub0103
경기도 시흥시,http://www.siheung.go.kr/administration/gboard/%ea%b3%a0%ec%8b%9c%ea%b3%b5%ea%b3%a0
경기도 안산시,https://www.iansan.net/civic/cityNews/Notification.jsp?menuId=01004041
경기도 안산 단원구,https://danwon-gu.iansan.net/guNews/Notification.jsp?menuId=04002007
경기도 안산 상록구,https://sangnok-gu.iansan.net/notice/Notification.jsp?menuId=03006004
경기도 안성시,https://www.anseong.go.kr/portal/saeol/gosiList.do?mId=0401040000
경기도 안양시,http://www.anyang.go.kr/
경기도 안양 동안구,http://dongan.anyang.go.kr/dongan/main.do
경기도 안양 만안구,http://manan.anyang.go.kr/manan/main.do
경기도 양주시,http://www.yangju.go.kr/site/yangju/sub.do?Key=1984
경기도 양평군,https://www.yp21.go.kr/board/list.yangpyeong?boardId=BBS_0000006&menuCd=DOM_000000134002001000
경기도 여주시,http://www.yeoju.go.kr/
경기도 연천군,https://www.yeoncheon.go.kr/index.yeoncheon?menuCd=DOM_000000103001005000
경기도 오산시,http://www.osan.go.kr/osan/saeol/gosiList.do?seCode=01&mId=0308010000
경기도 용인시,https://www.yongin.go.kr/index.do
경기도 의왕시,http://www.uiwang.go.kr/UWKORINFO0701
경기도 의정부시,https://www.ui4u.go.kr/portal/saeol/gosiList.do?seCode=01&mId=0301040000
경기도 이천시,http://www.icheon.go.kr/site/ic/boardList.do?boardSeq=5&key=194
경기도 파주시,https://www.paju.go.kr/user/board/BD_board.list.do?bbsCd=1022&q_ctgCd=4063
경기도 평택시,http://www.pyeongtaek.go.kr/pyeongtaek/saeol/gosiList.do?seCode=01&mId=0401020000
경기도 포천시,http://www.pocheon.go.kr/www/contents.do?key=5175&
경기도 하남시,http://www.hanam.go.kr/www/contents.do?key=171&modeView=23452
경기도 화성시,http://www.hscity.go.kr/administration/notice/city_konggo/index.html
